Text,Class
"Координация и сопровождение контрагентов - исполнителей (дизайнеры, архитекторы, проектировщики, поставщики, <highlighttext>строители</highlighttext>) в процессе реализации проекта. Взаимодействие с внутренними заказчиками и контрагентами...",responsibilities
"Опыт работы архитектором на <highlighttext>строительстве</highlighttext> малоэтажных объектов (домов и коттеджей) – от 3х лет, знание строительных и архитектурных норм и...",requirements
Проведение обмеров совместно с прорабами. Разработка технических заданий <highlighttext>строителям</highlighttext> и обеспечение их необходимыми данными для выполнения поручаемых работ. ,responsibilities
"Опыт ведения кадрового делопроизводства в полном объеме от 3-х лет. Знание действующего законодательства РФ, нормативных документов, уверенное знание Трудового...",requirements
"Ведение кадрового делопроизводства в полном объеме (работа совместно с командой в количестве 2-х чел.): приемы, переводы, увольнения, отпуска, командировки...",responsibilities
"Активность, энергичность, желание достойно зарабатывать и развиваться. Техническая грамотность, знание основных этапов <highlighttext>строительства</highlighttext> объекта, ключевых игроков, применяемых современных материалов. ",requirements
"Работа с теплой клиентской базой, минимум поиска. Обработка входящих запросов и формирование собственной клиентской базы. Регулярные встречи на территории клиента...",responsibilities
Опыт: - Опыт работы в должности мастер\прораб\начальник участка от 1 года на промышленных\административных зданиях (полный цикл работ). - ,requirements
"Выполняет ежедневный фотоотчет и составляет справки о ходе <highlighttext>строительства</highlighttext>. Осуществляет входной контроль и проверку рабочей документации, ее учет и выдачу...",responsibilities
умение работать в Excel. - умение выстраивать хорошую коммуникацию с подрядчиками-<highlighttext>строителями</highlighttext>. - умение находить общий язык ( решение спорных ситуаций с подрядчиками ). - ,requirements
Работа БЕЗ ПОИСКА клиентов и БЕЗ холодных звонков! - прием заявок от отдела продаж на выполнение работ по бурению и обустройству...,responsibilities
"Опыт в строительной сфере приветствуется, но если есть хотяб базовые знания стройки (выпускники строительных ВУЗов) и желание развиваться в сильной...",requirements
"1. Ознакомление с дизайн проектом, расчет смет и составление КП, подготовление актов выполненных работ, оформление договоров. 2. Обработка заявок на...",responsibilities
"Опыт работы не требуется (проводится обучение), но требуется умение работать и руками и головой. Ответственность и пунктуальность. Желание работать и...",requirements
"Монтаж систем дачной канализации, септиков для частных домов, дач, коттеджей. Монтаж наружных сетей канализации, водопровода, дренажа. Контроль за выполнением земляных...",responsibilities
Проектирование внутренних инженерных систем. — Отделочные работы по дизайн-проекту под ключ. — Устройство внутренних инженерных сетей. Ведение полного цикла сделки. ,responsibilities
"Высшее образование, предпочтительно ПГС (инженер-<highlighttext>строитель</highlighttext>). - Опыт работы «на линии» (предпочтительно).",requirements
"осуществление технического надзора за выполнением СМР, приемку законченных <highlighttext>строительством</highlighttext> объектов. - учет законченных ремонтных работ и составление отчетности. - участие в работе...",responsibilities
<highlighttext>Строительство</highlighttext> каркасных домов. Беседки. Бани. Качество работы. Своевременность сдачи объектов.,responsibilities
Умение читать и работать с чертежами по дизайну интерьера. - Аналитический склад ума. - Интерес к Дизайну интерьера. - Внимательность (перфекционизм в работе...,requirements
"...вместе со <highlighttext>строителями</highlighttext>), график закупок комплектации, график смежных работ. - Ведение отчётности по строительному процессу и комплектации. - Общение со <highlighttext>строителями</highlighttext>, анализ...",responsibilities
Опыт работы в промышленном и гражданском <highlighttext>строительстве</highlighttext> (в <highlighttext>строительстве</highlighttext> инженерных коммуникаций по приоритетности ЭОМ от 5-ти лет). ,requirements
"Управление проектом на всех его стадиях от запуска до завершения и координация участников (представители заказчика, проектировщика, поставщиков, бригады <highlighttext>строителей</highlighttext>) по...",responsibilities
"Знание и применение на практике правил разработки и эксплуатации нефтяных и газовых месторождений, <highlighttext>строительства</highlighttext> нефтяных и газовых скважин, капитального, текущего...",requirements
"Руководитель Департамента (добыча нефти и газа, эксплуатация месторождений), регион РФ. Основной функционал: Выполнение плана добычи нефти и газа. ",responsibilities
Высшее образование (желательно техническое/экономическое/юридическое). Опыт работы от 2х лет в сопровождении проектов/сделок/продаж. Владение компьютером на...,requirements
"Составление и оформление коммерческих предложений, договоров (оказания услуг, поставки товара, выполнения строительно-монтажных работ), дополнительных соглашений, актов, писем и т...",responsibilities
"Релевантный опыт работы по управлению складами - от 3х лет. Готовность к частым командировкам (Казань, Самара, Уфа, Екатеринбург, Ростов-на...",requirements
"Оперативное управление ресурсами склада. Оперативное управление входящих поставок. Контроль учета товарных запасов на складе. Управление затратами на складские услуги, оптимизация...",responsibilities
"Самостоятельность. Готовность приступить к действия. База ""горячих или холодных клиентов"". Опыт в направлении маркетинга (лидогенерация, CPA).",requirements
"Привлекать заявки (лиды на услуги <highlighttext>строительства</highlighttext> по МО). Размещать информацию об услугах компании. Настроить социальные сети, сделать продающий landing, quiz... ",responsibilities
"Опыт работы в <highlighttext>строительстве</highlighttext>, в структурах генподрядчика не менее 5 лет. Опыт работы на руководящих должностях на <highlighttext>строительстве</highlighttext> гипермаркетов, ТЦ...",requirements
"...Заказчику в ПНР и эксплуатацию завершенного <highlighttext>строительством</highlighttext> объекта. В подчинении инженеры: зам. рук. <highlighttext>строительства</highlighttext>, прорабы: электрика и СКС, отделочных работ...",responsibilities
"Опыт работы в сфере продаж. Коммуникабельность, ориентация на результат, самоорганизация. Готовность к разъездному характеру работы. Желание обучаться в новой сфере. ",requirements
"Искать и работать с новыми клиентами на территории Москвы и МО. Развивать и поддерживать партнерские отношения, увеличивать объемы продаж. ",responsibilities
"Знаете технологии строительных работ, порядок утверждения и разработки планов <highlighttext>строительства</highlighttext>, порядок оформления и разработки сметной, проектной и прочей технической документации...",requirements
"Обследовать объекты, коммуникации и конструкции. Определять причины образования поломок и дефектов и формировать отчёты. Готовить и формировать тендерную документацию, подбирать...",responsibilities
"Компетенции и опыт: Аналитический склад ума. Интерес к Дизайну интерьера. Внимательность. Ответственность. Желание и умение работать как в команде, нацеленной...",requirements
"Запрашивать сметы, проверять их и сравнивать. Проверять договоры <highlighttext>строителей</highlighttext> с Заказчиком. Составлять графики <highlighttext>строительства</highlighttext> и комплектации (совместно с РП и...",responsibilities
Высшее инженерно-строительное образование (ПГС). Опыт работы директором по <highlighttext>строительству</highlighttext> в структуре Заказчика (<highlighttext>строительство</highlighttext> жилой недвижимости). Опыт работы с проектной...,requirements
"Руководство строительными процессами. Контроль и управление сроками выполнения работ, контроль графиков производства работ. Взаимодействие с гос структурами (разрешительные и контролирующие...",responsibilities
Права категории В. - Пунктуальность и порядочность. - Желателен опыт работы водителем-экспедитором.,requirements
"Контроль соответствия продукции. - Своевременная доставка на объекты <highlighttext>строительства</highlighttext> по Москве и МО, контроль отгрузок. - Работа с сопроводительной документацией. - ",responsibilities
"Требуется бригада <highlighttext>строителей</highlighttext>. Работа по разным регионам. Желательно наличие прямых рук, инструмента.",requirements
"<highlighttext>Строительство</highlighttext> брусовых и каркасных домов, в различных комплектациях.",responsibilities
...<highlighttext>строительства</highlighttext> производственного и непроизводственного назначения не менее 3-х. лет в Москве и МО. Опыт реализации проектов объектов капитального <highlighttext>строительства</highlighttext>...,requirements
Проведение еженедельных оперативных совещаний по ПИР с проектировщиками и <highlighttext>строителями</highlighttext>. Подготовка отчётов о ходе работ и справок по объектам (при...,responsibilities
National technical certificates related to civil engineering. Korean (Intermediate). Степень бакалавра по направлению - <highlighttext>строительство</highlighttext>. Опыт работы не менее 1го...,requirements
"Managing, designing, developing, creating and maintaining construction projects. Conducting on-site investigations. Assessing potential risks, materials and costs. ",responsibilities
"Высшее образование (инженер-<highlighttext>строитель</highlighttext>, экономическое). Опыт работы не менее 10 лет (<highlighttext>строительство</highlighttext> социальных объектов, БЦ, Гостиниц, ЖК). Знание методических и...",requirements
"Определение максимальной цены контракта. Составление смет и калькуляций стоимости объектов капитального <highlighttext>строительства</highlighttext>, инженерных систем (СМР, ПИР и прочих работ) в...",responsibilities
"Обязательный опыт во внутренней отделке на должности производителя работ. Знание современных отделочных и инженерных материалов, опыт работы с материалами премиум...",requirements
"Полный контроль и управление всеми процессами на вверенных объектах. Подбор, руководство подрядчиками и организация выполнения строительных работ на объекте в...",responsibilities
Оплата по КТУ (Коэффициент трудового участия т.е оценка деятельности человека). -устройство монолитных конструкций. -вязка арматуры. -заливка бетона. -,responsibilities
Профильное образование (Архитектура и дизайн интерьеров. ПГС - Промышленное и гражданское <highlighttext>строительство</highlighttext>). Навыки: Разработка дизайн-проектов/проектов АР (предпочтительно офисов). ,requirements
"Координация и сопровождение контрагентов - исполнителей (дизайнеры, архитекторы, проектировщики, поставщики, <highlighttext>строители</highlighttext>) в процессе реализации проекта. Взаимодействие с внутренними заказчиками и контрагентами...",responsibilities
"Активность, энергичность, желание достойно зарабатывать и развиваться. Техническая грамотность, знание основных этапов <highlighttext>строительства</highlighttext> объекта, ключевых игроков, применяемых современных материалов. ",requirements
"Работа с теплой базой клиентов. Обработка входящих запросов и работы с действующей клиентской базы. Взаимодействие с отделом закупок, складом, бухгалтерии...",responsibilities
Профильное высшее или средне-специальное образование. Опыт работы инженером-<highlighttext>строителем</highlighttext> от 3х лет. Знание общих принципов проектирования конструктивных и...,requirements
"Полный технический контроль <highlighttext>строительства</highlighttext> объекта. Контроль и организация работы монтажных бригад, сроков производства строительных работ, решение технических и организационных вопросов...",responsibilities
Высшее или среднее специальное строительное образование. Опыт работы от 3-х лет в аналогичной должности. Опытный пользователь ПК (Excel). ,requirements
"Организация производства ра­бот в соответствии с заданием, проектной документацией, <highlighttext>строитель</highlighttext>­ными нормами и правилами. Контроль качества и сроков производства...",responsibilities
Высшее образование по специальности «Промышленное и гражданское <highlighttext>строительство</highlighttext>». Опыт работы по профилю не менее 5 лет.,requirements
"Оформление полного комплекта разрешительной градостроительной документации (ГПЗУ, АГР, разрешение на <highlighttext>строительство</highlighttext>, заключение о соответствии <highlighttext>строительству</highlighttext>, акт ввода в эксплуатацию и...",responsibilities
Опыт работы в сфере <highlighttext>строительства</highlighttext> и эксплуатации производственных объектов горно-обогатительного профиля - от 5 лет. Опыт управления проектам <highlighttext>строительства</highlighttext> сложных...,requirements
"Взаимодействие с заинтересованными сторонами проекта (Инвестором, Заказчиком, поставщиками и подрядчиками, контрольно-надзорными органами), переговоры, согласования, отчётность. Организация разработки концепции проекта...",responsibilities
"Опыт работы на должности инженер-проектировщик, инженер-конструктор, инженер-<highlighttext>строитель</highlighttext> в области промышленного и гражданского <highlighttext>строительства</highlighttext>, машиностроения, судо-, авто- или...",requirements
"Выполнение конструкторских работ по проектированию металлоконструкций (металлоформы для производства железобетонных изделий), железобетонных изделий (шпалы, плиты, лотки, блоки, кольца и др.). ",responsibilities
"Высшее профильное образование (инженер-<highlighttext>строитель</highlighttext>, инженер-геодезист, горный инженер-маркшейдер). Обязателен опыт работы в качестве геодезиста от 3-х лет. ",requirements
Выполнение полного комплекса геодезических полевых и камеральных работ в <highlighttext>строительстве</highlighttext>. Разбивочные работы. Исполнительные съемки. Камеральные работы. Подсчет объемов земляных масс. ,responsibilities
"Коммуникабельность, умение и желание общаться с заказчиком. Знание нормативной документации по расчету и проектированию. Владение ArchiCAD- обязательно. Оперативное реагирование на...",requirements
"Взаимодействие с Заказчиками и смежными отделами (менеджеры, конструкторы, инженеры, <highlighttext>строители</highlighttext>). Самостоятельно вести и разрабатывать проектную документацию раздела ЭП, АР (каркасные...",responsibilities
"...состава, порядка подготовки и утверждения исполнительной документации. Опытный пользователь ПК (MS Office, AutoCAD). Знание действующих нормативных документов в области <highlighttext>строительства</highlighttext>.",requirements
"...оптимального режима работы на объекте <highlighttext>строительства</highlighttext>. Контроль работы <highlighttext>строителей</highlighttext> подрядных организаций. Контроль выполнения планов <highlighttext>строительства</highlighttext> (объемы, сроки качество). ",responsibilities
"Наличие опыта активных продаж (желательно опыт в продажах металлопроката, строительных материалов). Высокий уровень коммуникативных навыков. Готовность и умение нарабатывать клиентскую...",requirements
Активно привлекать новых клиентов в сегменте «<highlighttext>Строительство</highlighttext>». Проводить встречи и переговоры. Формировать свою клиентскую базу. Выполнять поставленные цели по продажам. ,responsibilities
"Опыт работы каменщиком приветствуется. —Вы активный, честный, позитивный, выносливый. —Настоящий <highlighttext>строитель</highlighttext>, который не ноет и не боится работы и капризов...",requirements
"Выполнение кладки (наружных, внутренних стен и перегородок, шахт из: —газобетона. —пеноблока. —кирпича (полнотелый, облицовочный, пустотелый). —пазогребневых плит. —керамзитоблока. —лицевая кладка.",responsibilities
"Базовые знания геодезического оборудования (электронные тахеометры Leica, УОМЗ и пр.). Понимание и опыт работы в BIM-технологиях (<highlighttext>Building</highlighttext> Information Modeling...",requirements
"Выполнение работ по наземному (сканер FARO) лазерному сканированию объектов жилищного, промышленного, спортивного, коммерческого <highlighttext>строительства</highlighttext>. Камеральная обработка результатов лазерного сканирования. ",responsibilities
Опыт работы по строительному контролю отделочных работ. Высшее техническое образование.,requirements
"Организация, контроль и технический надзор за производством общестроительных работ. Составление и соблюдение графиков <highlighttext>строительства</highlighttext>, определение мероприятий по устранению отклонений от...",responsibilities
"Внимательность к деталям. Инициативность. Ответственность, исполнительность. Стрессоустойчивость. Умение коммуницировать с клиентами и <highlighttext>строителями</highlighttext>. Организаторские навыки. Знание техник продаж - будет вашим...",requirements
Консультация клиентов и сотрудников по вопросам <highlighttext>строительства</highlighttext>. Разработка предложений и планирование работ по повышению качества отделки. Создание шаблонов для ремонтных...,responsibilities
Опыт и навыки по оформлению документов для получения разрешения на <highlighttext>строительство</highlighttext> и ввод объектов в эксплуатацию. Знание состава проектной документации...,requirements
...на объекте <highlighttext>строительства</highlighttext>. Контроль за исполнением договоров на технологическое присоединение Объектов. Контроль сроков исполнения договоров. Проверка соответствия законченного <highlighttext>строительством</highlighttext> объекта...,responsibilities
"...<highlighttext>строительстве</highlighttext> (каркасная технология, и SIP-панели) - ОБЯЗАТЕЛЬНО! Знание технологии малоэтажного <highlighttext>строительства</highlighttext>. Знанием конструктивных особенностей каркасной, блочной и брусовой технологий <highlighttext>строительства</highlighttext>! ",requirements
"Выполнение поручений ГАПа (рабочие вопросы). Плотное взаимодействие и работа ""в связке"" с остальными отделами: отделом ПТО, <highlighttext>строителями</highlighttext> и менеджерами по...",responsibilities
"Знание системы ценообразования и коммерческих расценок при <highlighttext>строительстве</highlighttext>, опыт в составлении смет в службе подрядчика. - Обязателен опыт работы в аналогичной...",requirements
"Собственный автопарк землеройной техники. - Составление смет СМР, актов выполненных работ и защита их перед заказчиком, оформление актов сверки объёмов работ...",responsibilities
Какой опыт мы хотим видеть у нашего сотрудника: -опыт в сфере организации деловых мероприятий в строительной области. -опыт работы с...,requirements
Mы поиске организатора конференций для координации мероприятий. Что будет входить в задачи: -составление и ведение плана-графика проекта совместно с...,responsibilities
"Опыт работы от 3-х лет в жилищном <highlighttext>строительстве</highlighttext> (желательно в отделке/кладке). Образование высшее/средне-специальное (строительное, техническое).",requirements
"Контроль за строительными работами: кладка, отделка и инженерные сети. Соблюдение сроков, устранение замечаний.",responsibilities
"Стаж работы по профессии - не менее 5 лет в сметной деятельности в <highlighttext>строительстве</highlighttext>. Опыт работы на объектах теплоэнергетики (ГРЭС, ТЭС...",requirements
Проверка сметной документации и подготовка экспертных заключений о ее составе и качестве. Согласование сметной документации. Проверка и согласование актов выполненных...,responsibilities
"Технический профиль обучения: инженер, ПТО, экономист-<highlighttext>строитель</highlighttext>. Умение работать с большими объемами числовых и текстовых данных, структурировать их, умение читать...",requirements
"Анализ, изучение лучших практик управления ценообразования и контроля бюджета проектов капитального <highlighttext>строительства</highlighttext>. Работа с чертежами, проектной и сметной документацией, анализ...",responsibilities
"Опыт работы на топ-позициях серьезных проектов, либо организаций. Опыт организации крупных деловых мероприятий - ОБЯЗАТЕЛЬНО!!! Опыт взаимодействия с государственными органами...",requirements
"Организация всего спектра собственных федеральных и отраслевых мероприятий в отраслях IT, <highlighttext>строительство</highlighttext>,ЖКХ и других (не менее 20 в год). ",responsibilities
"Высшее образование (техническое или строительное будет являться преимуществом). Знание норм делового общения и этикета - обязательно. Знание офисных программ (Word, Excel...",requirements
"Работа с входящими лидами. Сопровождение полного цикла сделок с клиентами СРО (комплексный подход к клиенту, ведение клиента на постоянной основе). ",responsibilities
"Законченное высшее образование (приоритет: техническое, строительное, экономическое, юридическое). Опыт работы от 3 лет ведение проектов/сопровождению проектов. Общее понимание ценообразования...",requirements
Управление процессом поставки оборудования на АЭС. Постановка задач отделам компании и контроль их выполнения. Составление графиков работ и контроль их...,responsibilities
"Опыт проектирования в малоэтажном <highlighttext>строительстве</highlighttext> -каркасная технология, и из SIP-панелей. Знание основных норм и правил проектирования, <highlighttext>строительства</highlighttext> малоэтажных жилых...",requirements
"Проектирование и подготовка рабочей документации для <highlighttext>строителей</highlighttext> (КР). Присутствие на встречах с заказчиками (совместно с менеджерами), консультирование по конструктивной части...",responsibilities
"Желательно: подобный опыт сопровождения франчайзи-партнеров или открытия объектов с «0». — Умение нанимать и взаимодействовать с подрядчиками, строительными бригадами. — ",requirements
"...контроль <highlighttext>строительства</highlighttext>, открытие новых площадок). — Составление регламента открытия площадок и работа с ним. — Подбор команды открытия(в т.с. <highlighttext>Строителей</highlighttext>...",responsibilities
ОБЯЗАТЕЛЬНЫМ ОПЫТОМ РАБОТЫ В ИНВЕСТИЦИОННЫХ ЕВРОПЕЙСКИХ КОМПАНИЯХ. - Опыт работы на аналогичной должности от 3-х лет. - Опыт работы в европейской...,requirements
Проведение тендеров на <highlighttext>строительство</highlighttext> объекта. - Подготовка и подписание договоров <highlighttext>строительства</highlighttext> и подряда. - Контроль выполнения обязательств <highlighttext>строителей</highlighttext> и подрядчиков. - ,responsibilities
"высшее профессиональное образование. - стаж работы по специальности не менее 5 лет, желательно опыт работы в бюджетных организациях. - уверенный пользователь персонального...",requirements
